Timestamp,Designing for data generation and capture,Data generation and capture,"Data storage, access and manipulation",Big data modelling and analysis,Visualising big data models and analysis,Making data-driven insights,Data-driven decision making under uncertainty,Monitoring and evaluation
12/02/2016 11:37:31,1,3,2,2,1,1,1,2
12/02/2016 11:47:16,1,1,1,1,1,1,1,1
23/02/2016 14:43:30,2,3,2,2,3,1,1,2
01/03/2016 18:59:58,2,3,2,3,3,3,4,2
01/03/2016 19:00:38,3,3,3,3,3,3,3,3
03/03/2016 14:22:00,1,2,2,1,2,1,2,1
03/03/2016 14:25:32,2,2,3,3,2,2,3,3
05/03/2016 01:47:23,3,3,3,3,3,3,3,3
23/03/2016 11:22:32,3,2,3,4,4,1,2,3
23/03/2016 17:27:15,3,5,3,3,3,3,3,3
23/03/2016 18:52:44,3,3,3,3,3,3,3,3
01/04/2016 12:54:04,2,3,4,5,4,3,2,1
01/04/2016 14:43:12,4,4,5,5,4,4,4,5
01/04/2016 14:43:46,5,4,5,4,4,5,4,5
01/04/2016 14:45:42,3,3,2,1,2,1,1,1
01/04/2016 14:46:10,1,1,1,1,1,1,1,1
01/04/2016 14:52:46,1,1,1,1,1,1,1,1
01/04/2016 15:11:43,2,3,1,1,1,1,1,1
01/04/2016 15:12:55,1,1,1,1,1,1,1,1
01/04/2016 15:14:20,1,1,1,1,1,1,1,1
01/04/2016 15:14:20,1,1,1,1,1,1,1,1
01/04/2016 15:23:37,1,1,1,1,1,1,1,1
01/04/2016 15:24:00,1,1,1,1,1,1,1,1
01/04/2016 15:26:06,1,1,1,1,1,1,1,1
01/04/2016 15:29:56,1,1,1,1,1,1,1,1
01/04/2016 15:39:16,5,5,5,5,5,5,5,5
01/04/2016 15:58:20,1,1,1,1,1,1,1,1
01/04/2016 15:59:00,1,1,1,1,1,1,1,1
01/04/2016 15:59:46,1,1,1,1,1,1,1,1
01/04/2016 16:00:22,1,1,1,1,1,1,1,1
01/04/2016 16:01:29,1,1,1,1,1,1,1,1
01/04/2016 16:23:38,1,1,1,1,1,1,1,1
01/04/2016 16:27:53,1,1,1,1,1,1,1,1
04/04/2016 11:27:45,1,1,1,1,1,1,1,1
04/04/2016 11:33:38,2,2,2,1,2,1,1,1
04/04/2016 11:34:44,4,3,5,3,2,3,3,4
04/04/2016 11:37:34,3,3,3,4,2,4,4,3
04/04/2016 11:47:02,1,1,2,2,2,2,1,1
04/04/2016 11:57:56,3,2,3,3,3,3,3,3
04/04/2016 11:59:58,1,3,3,2,2,3,2,3
04/04/2016 12:00:32,3,3,3,3,3,3,3,3
04/04/2016 12:20:37,3,3,3,3,3,3,3,3
04/04/2016 12:27:57,2,4,4,2,2,1,1,2
04/04/2016 12:37:03,2,2,2,1,1,1,1,1
04/04/2016 12:41:59,1,2,2,2,2,2,1,1
04/04/2016 12:45:03,3,3,3,3,3,2,2,2
04/04/2016 12:48:05,1,2,1,2,2,1,1,1
04/04/2016 13:08:25,3,3,3,3,3,3,3,3
04/04/2016 13:09:02,3,2,1,1,1,1,1,1
04/04/2016 13:14:32,3,4,4,3,4,4,4,4
04/04/2016 13:21:25,2,2,2,2,2,2,2,2
04/04/2016 13:25:37,3,3,2,1,2,2,2,2
04/04/2016 13:36:02,2,2,2,2,2,2,2,2
04/04/2016 13:48:17,1,2,2,1,3,2,2,3
04/04/2016 14:04:48,2,2,2,1,2,2,2,1
04/04/2016 14:11:48,3,2,4,4,4,4,3,2
04/04/2016 14:14:03,1,2,1,1,1,1,1,1
04/04/2016 14:16:04,5,5,5,5,2,3,2,5
04/04/2016 14:29:19,3,2,3,1,2,2,1,1
04/04/2016 14:47:53,2,2,2,3,2,3,2,2
04/04/2016 14:56:48,1,1,1,1,1,1,1,1
04/04/2016 15:04:17,2,3,3,2,2,3,3,3
04/04/2016 15:12:21,2,2,2,1,1,1,1,1
04/04/2016 15:22:16,2,2,1,4,4,4,3,4
04/04/2016 15:28:39,1,1,1,1,1,1,1,1
04/04/2016 15:34:05,2,2,4,2,2,2,2,2
